latitude,longitude,name,location,type
5.4733659,7.0192671,Imo concorde hotel,Off PortHarcourt road ,
5.4739586,7.013978,Imo house of Assembly,Off PortHarcourt road ,
5.4890303,7.0206452,Maria assumpta Cathedra,Asumpta Avenue,
5.4831565,7.0405294,Dan Anyiam Stadium,Wetheral Road Owerri,
5.4934754,7.0375355,Mbari Cultural art,Ikenegbu Owerri,
5.4737728,7.0192571,Children Amusement park,"Concorde Ave, Owerri ",
5.4587645,7.0272974,Akachi monument,Wetheral Road Owerri,
5.479443,7.012586,Immaculate Royal International Hotel, Port Harcourt Rd Owerri,3 Star
5.493471,7.032423,Rockview Hotels Owerri," government station, layout, Owerri , Imo",4 Star
5.463534,7.025689,Protea Hotel Owerri Select,"Plot H/1 Nekede Pocket Layout Protea Road, Owerri  Imo",3 Star
5.473191,7.027497,Full Moon Hotels,"Plot H-1 Fullmoon Avenue, by Akanchawa Road",4 Star
5.471409,7.004266,"Golden Tulip Hotel, Owerri","SUBEB Junction, Off, Port Harcourt Rd, Owerri",3 Star
5.470825,7.021561,Kelvic Suites,"Concorde Ave, Owerri 460281, Imo",3 Star
5.494951,7.039237,Benchmark Hotel Owerri,"Oduobi Crescent, By Cherubim Junction Owerri 460281, Imo",1 Star
5.489303,7.027883,Toprate Luxury Hotel,"5 Chiddi Akurunwa Street, Off Portharcourt Rd, Owerri 100000",3 Star
5.48233,7.015145,Owerri Hotel Plaza,"Port Harcourt Rd, Owerri",
5.477714,7.05565,Owerri Mall ,"Egbu Rd, Owerri 460281, Imo",
5.465359,7.043955,Dream World Amusement Park,Owerri 460281 Imo,
5.472686,7.043453,Otamiri River,Along Akachi Road,
5.478273,7.021283,Hero's square,Owerri 460281,
